,data,label
0,"AKANGABAZI nakancane ukuthi uzowuphasa ngamalengiso u-matric uNobuhle Khuzwayo (18) ofunda Ohlange High, eNanda phezu kobunzima asebhekane nabo empilweni.
UNobuhle nomamncane wakhe bakhishwe emzini abebehlala kuwo ngo-Okthoba, unina washona esemncane kanti uyise akanabo ubudlelwano naye. Noma kunjalo le ntokazi ehlale imamatheka ithe izowuphasa ngamalengiso u-matric. Ngesikhathi sihlangana nayo ubungeke usho ukuthi isidlule ebunzimeni obukhulu njengoba ibingelela ngemfudumalo futhi imoyizela.
","economy, business and finance"
1,"OWAYENGUMENGAMELI, uMnuz Thabo Mbeki, uxwayisa ngokuthi kunenhlekelele enokwenzeka noma yinini eNingizimu Afrika uma isimo singalungiswa.
Ethula inkulumo yakhe emcimbini obuhlelwe yiphephandaba langeSonto lapho bekuhlonishwa khona izinkampani eziwu-100 ezinkulu ezenza kahle ngoLwesibili ebusuku, uMbeki uthe lizonyuka izinga lokungagculiseki kubantu okuzoholela ekutheni kube khona imibhikisho eminingi.
",politics
2,"BATHANDAZELA ukuthi alulame esibhedlela owesifazane okuthiwa udutshulwe amahlandla amane nguyise wezingane zakhe obeyiphoyisa likaMasipala waseThekwini emzini wakhe ePhilani Valley, eMlaza, ngoMgqibelo.
USergeant Mduduzi Buthelezi (41) utholakale eseshonile emgwaqweni u-R603 eMbumbulu ngemuva kokuthi imoto abehamba ngayo ishayisane mahlanze neloli. Kepha okuxake umndeni wakhe wukuthi ubeshile ebusweni enenxeba lokudutshulwa esandleni.
","crime, law and justice"
3,"INYUNYANA yamaphoyisa nojele, iPolice and Prisons Civil Rights Union (Popcru), isizwakalise ukukhathazeka ngezokuphepha emajele ngemuva kokushona kweziboshwa ezintathu kwalimala abangu-25 kade kulwa ojele neziboshwa ejele iSt Albans eBhayi ngoMsombuluko.
Esitatimendeni esithunyelelwe abezindaba izolo, okhulumela iPopcru, uMnuz Richard Mamabolo, uthe badumele ngokwehlwa kwalesi sigameko ebesingagwemeka ukuba ezokuphepha ziqinile emajele.
","crime, law and justice"
4,"USOMAHLAYA wakuleli osezinze e-United States, uTrevor Noah, uzoba nengqophamlando yohlelo lapho azoxoxa khona nomengameli uBarack Obama. Njengoba usuphela lo nyaka abantu base-US abavotele kuwo umengameli omusha, uTrevor uzoba nengxoxo ekhethekile no-Obama eWhite House. Kuzobe kungokokuqala ngqa lo mengameli ekhuluma ohlelweni olwethulwa iThe Daily Show with Trevor Noah. Lolu hlelo luzodlala kusasa (Disemba 13) ngo 9 ebusuku kuComedy Central (DStv 122). Ngesikhathi kuqhubeka ukhetho e-US, uTrevor ukhulume nabaholi abaphambili kwezombusazwe kulolu hlelo okubalwa kubo uBill Clinton, uDkt Ben Carson, Senator Lindsay Graham noSenator Rand Paul. Kubanye abantu abazovela ohlelweni luka Noah kuleli sonto kubalwa intatheli uTa-Nehisi Coates (Disemba 14), umlingisi uMichael K. Williams (Disemba 15) Rod Corddry we-Office Christmas Party (Disemba 16) nabanye. Kusukela ngoJanuwari 4, 2017, iDaily Show with Trevor Noah izodlala ngo 9.55 njalo ngoLwesibili kuya kuLwesihlanu. 
",politics
5,"IBHANTSHI ligcwale umoya kubaholi beNFP, uMnuz Maliyakhe Shelembe noSolwazi Nhlanhla Khubisa abagwetshwe iminyaka engu-10 bengazihlanganisi neqembu kwaphinde kwahoxiswa nobulungu babo ngemuva kokulahlwa ngamacala ebebekwe wona yiqembu.
Ikomiti eliqondisa ubugwegwe leqembu, lithole uShelembe obenguSihlalo kazwelonke owesula esikhundleni noKhubisa obenguNobhala-jikelele naye owasula, benecala lokwehluleka ukubhalisela iqembu kusenesikhathi ukuze lingenele ukhetho lohulumeni basekhaya nokwaholela ekutheni ligcine lingangenanga.
",politics
6,"
INTATHELI YESOLEZWE
ISIBOSHWA sokuqala ukweqa ejele lasePitoli, u-Ananias Mathe, sigcine sishonele eKing Edward VIII Hospital ngoLwesibili ntambama kulandela ukuxinwa ukugula. UMathe ushonele kulesi sibhedlela eThekwini emva kwesikhathi enenkinga ÃƒÂ¢Ã¢â€šÂ¬Ã‹Å“yokugaya ukudla esiswiniÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢. 

Kuzokhumbuleka ukuthi uMathe waba yisiboshwa sokuqala ukweqa ejele iC-Max ePitoli ngonyaka ka-2006, wabanjwa emva kwenyanga eqile. Ngo-2005 weqa eJohannesburg Central Police Station. Ngonyaka ka-2009 wagwetshwa iminyaka engu-54 ejele emva kokulahlwa amacala angu-64 ayebekwe wona, okubalwa kuwo awokuphanga ehlomile, ukudlwengula, ukubulala nokugqekeza. 

Ngenxa yokuthi ubesezame kabili ukweqa ejele laseKokstad, KwaZulu-Natal, kubikwa ukuthi izikhulu zakhona ziqale zazitshela ukuthi ukuya esibhedlela bekuyingxenye yecebo lakhe elisha lokweqa ngenkathi exinwa ukugula emasontweni amathathu edlule. 
Nokho ugcine ehanjisiwe esibhedlela lapho afike ashonela khona. ","crime, law and justice"
7,"I-AFRICAN National Congress (ANC) izolo izwakalise ukuthi isibonile isimemezelo seNational Prosecuting Authority (NPA) sokuthi usenikezwe amasamanisi uNgqongqoshe wezeziMali uMnuz Pravin Gordhan okuba avele enkantolo ngamacala okukhwabanisa kulandela uphenyo ngeSouth African Revenue Service (Sars). 
ObenguKhomishana kwaSars, uMnuz Oupa Magashula noMnuz Ivan Pillay obeyiSekela likaKhomishana khona kwaSars, nabo banikwe izincwadi zamasamanisi ezibafuna enkantolo noGordhan.
",politics
8,"I-ANC ayeneme ngabaholi abafuna uMengameli Jacob Zuma axolise emndenini wowesifazane owambopha ngezinsolo zokumdlwengula ngo-2005. Leli qembu libachaze njengabantu abangavuthiwe emqondweni.
Umkhulumeli we-ANC, uMnuz Zizi Kodwa, uthe iyabaxaka indaba yokuthi kumele uZuma axolise ngoba kuyaziwa ukuthi inkantolo yamthola emsulwa ngezinsolo zokudlwengula uNksz Fezekile Ntsukela Khuzwayo obebizwa ngoKhwezi ukuze avikeleke.
",politics
9,"UHLAKAZWE ngezinhlamvu ezingu-20 emagcekeni esonto izolo umfundisi webandla iPresbyterian, eLamontville, eThekwini. Basale bebabaza isihluku abantu bakule ndawo namalungu ebandla ngokudutshulwa kukaMfundisi Vusi Mabaso (57) ongusomatekisi.
Amatekisi akhe abehambela khona eLamontville. Uhlaselwe ngabantu abangaziwa izolo ekuseni ngabo-8 esemishini lapho ehlala khona. Abahlaseli kuthiwa bebehamba ngeVW Polo empunga. Umufi kuthiwa uphume emishini eyokhuluma nocingo nokuyilapho abasolwa bemdubule bephindelela, kuthiwa noma eselele phansi bebelokhu bemdubula njengoba nesandla size sahlephuka. 
","crime, law and justice"
