id,title,label,url
0, uyazethemba umfundi odlule ebunzimeni ,"economy, business and finance",http://www.iol.co.za/isolezwe/uyazethemba-umfundi-odlule-ebunzimeni-2088866
1, akulungiswe isimo kungakonakali mbeki ,politics,http://www.iol.co.za/isolezwe/akulungiswe-isimo-kungakonakali-mbeki-2088850
2, ubezivikela oshise iphoyisa ngepharishi ,"crime, law and justice",http://www.iol.co.za/isolezwe/ubezivikela-oshise-iphoyisa-ngepharishi-2078609
3, i popcru ikhathazekile ngezokuphepha emajele ,"crime, law and justice",http://www.iol.co.za/isolezwe/izindaba/i-popcru-ikhathazekile-ngezokuphepha-emajele-7285814
4, ezokungcebeleka/utrevor noah nengxoxo ekhethekile nobarack obama ,politics,http://www.iol.co.za/isolezwe/ezokungcebeleka/utrevor-noah-nengxoxo-ekhethekile-nobarack-obama-2096189
5, sebeshaywe ngesithende abaholi benfp ,politics,http://www.iol.co.za/isolezwe/izindaba/sebeshaywe-ngesithende-abaholi-benfp-7285810
6, kusenele isiboshwa sodumo lokweqa emajele ,"crime, law and justice",http://www.iol.co.za/isolezwe/izindaba/kusenele-isiboshwa-sodumo-lokweqa-emajele-7286153
7, i anc iphawula ngecala likagordhan ,politics,http://www.iol.co.za/isolezwe/i-anc-iphawula-ngecala-likagordhan-2078975
8, akukho uzuma angakuxolisela anc ,politics,http://www.iol.co.za/isolezwe/akukho-uzuma-angakuxolisela-anc-2078970
9, udutshulwe esontweni umfundisi ,"crime, law and justice",http://www.iol.co.za/isolezwe/udutshulwe-esontweni-umfundisi-2078968
10, uzuma usola umadonsela ngokuhambisa ngesinxele ,politics,http://www.iol.co.za/isolezwe/uzuma-usola-umadonsela-ngokuhambisa-ngesinxele-2078624
11, sihlaziya umnotho kusazobhimba impela uma kukhulunywa ngezomnotho ,politics,http://www.iol.co.za/isolezwe/izindaba/sihlaziya-umnotho-kusazobhimba-impela-uma-kukhulunywa-ngezomnotho-7377728
12, uphuze owokukhipha idliso washona ,"crime, law and justice",http://www.iol.co.za/isolezwe/izindaba/uphuze-owokukhipha-idliso-washona-7489986
13, umalema ukhwele wadilika kuzuma ,"crime, law and justice",http://www.iol.co.za/isolezwe/izindaba/umalema-ukhwele-wadilika-kuzuma-7356195
14, abatokile bashaye abashushisi ngezihlalo ,"crime, law and justice",http://www.iol.co.za/isolezwe/izindaba/abatokile-bashaye-abashushisi-ngezihlalo-7490702
15, uhleka yedwa unina wesiboshwa esiyisiqengqe ,"crime, law and justice",http://www.iol.co.za/isolezwe/izindaba/uhleka-yedwa-unina-wesiboshwa-esiyisiqengqe-7404427
16, usesitokisini osolwa ngokubulala usana ,"crime, law and justice",http://www.iol.co.za/isolezwe/izindaba/usesitokisini-osolwa-ngokubulala-usana-7355174
17, umkhize uphika ukuthi ufuna esokuba yiphini likaramaphosa ,politics,http://www.iol.co.za/isolezwe/izindaba/umkhize-uphika-ukuthi-ufuna-esokuba-yiphini-likaramaphosa-7377587
18, kugxekwe oshuthe eselibeni likancwane ,society,http://www.iol.co.za/isolezwe/izindaba/kugxekwe-oshuthe-eselibeni-likancwane-7501559
19, wenze ezibukwayo owafeyila   matric ngo  ,society,http://www.iol.co.za/isolezwe/izindaba/wenze-ezibukwayo-owafeyila---matric-ngo-2010-7349814
20, uvalo kubulawa indodana yenduna ebisongelwa ,"crime, law and justice",http://www.iol.co.za/isolezwe/izindaba/uvalo-kubulawa-indodana-yenduna-ebisongelwa-7558290
21, ubebaleka owengozi yabafundi ,"crime, law and justice",http://www.iol.co.za/isolezwe/izindaba/ubebaleka-owengozi-yabafundi-7385300
22, uyaxolisa ohlale ethuneni likancwane ,"crime, law and justice",http://www.iol.co.za/isolezwe/izindaba/uyaxolisa-ohlale-ethuneni-likancwane-7509486
23, ukujiya kocansi nenselelo kubefundisi ,society,http://www.iol.co.za/isolezwe/izindaba/ukujiya-kocansi-nenselelo-kubefundisi-7433047
24, uqophe igama lakhe emlandweni wesikole ku matric ,education,http://www.iol.co.za/isolezwe/izindaba/uqophe-igama-lakhe-emlandweni-wesikole-ku-matric-7349901
25, uyofundela ubudokotela obelusa izinkomo ,education,http://www.iol.co.za/isolezwe/izindaba/uyofundela-ubudokotela-obelusa-izinkomo-7355256
26, itwetwe ngodlame eglebelands ,"crime, law and justice",http://www.iol.co.za/isolezwe/izindaba/itwetwe-ngodlame-eglebelands-7510261
27, ama aquarian angabantu babantu ,education,http://www.iol.co.za/isolezwe/izindaba/ama-aquarian-angabantu-babantu-7510480
28, umhlaziyi ubona uradebe ekulungele ukuba wumengameli ,politics,http://www.iol.co.za/isolezwe/izindaba/umhlaziyi-ubona-uradebe-ekulungele-ukuba-wumengameli-7483231
29, unqaba inhlawulo ngodlwenguliwe ,"crime, law and justice",http://www.iol.co.za/isolezwe/izindaba/unqaba-inhlawulo-ngodlwenguliwe-7544042
30, akafunwa endaweni osolwa ngokucwasa ,"crime, law and justice",http://www.iol.co.za/isolezwe/izindaba/akafunwa-endaweni-osolwa-ngokucwasa-7385354
31, aseqalile ukudayisa amasheya kareddy ,"economy, business and finance",http://www.iol.co.za/isolezwe/izindaba/aseqalile-ukudayisa-amasheya-kareddy-7512270
32, ayaphela amanzi kwezakhele owetheku ,society,http://www.iol.co.za/isolezwe/izindaba/ayaphela-amanzi-kwezakhele-owetheku-7490713
33, umsindonge anc awukapheli ,politics,http://www.iol.co.za/isolezwe/izindaba/umsindonge-anc-awukapheli-7558725
