id,title,label,url
0, uyazethemba umfundi odlule ebunzimeni ,"economy, business and finance",http://www.iol.co.za/isolezwe/uyazethemba-umfundi-odlule-ebunzimeni-2088866
1, akulungiswe isimo kungakonakali mbeki ,politics,http://www.iol.co.za/isolezwe/akulungiswe-isimo-kungakonakali-mbeki-2088850
2, ubukhazikhazi kushadelwa u kg ,lifestyle and leisure,http://www.iol.co.za/isolezwe/ubukhazikhazi-kushadelwa-u-kg-2089854
3, ubezivikela oshise iphoyisa ngepharishi ,"crime, law and justice",http://www.iol.co.za/isolezwe/ubezivikela-oshise-iphoyisa-ngepharishi-2078609
4, zingase ziwushaye kuminnie dlamini ,"arts, culture, entertainment and media",http://www.iol.co.za/isolezwe/zingase-ziwushaye-kuminnie-dlamini-2096195
5, isenzo sokhozi sikhalise abaculi ,"arts, culture, entertainment and media",http://www.iol.co.za/isolezwe/isenzo-sokhozi-sikhalise-abaculi-2096439
6, ubegadiwe kokasfiso owemoto ka  ,religion and belief,http://www.iol.co.za/isolezwe/ubegadiwe-kokasfiso-owemoto-ka-r19m-2096179
7, ukatsande ukhule esebenza epulazini ,sport,http://www.iol.co.za/isolezwe/ukatsande-ukhule-esebenza-epulazini-2096096
8, utinkler uncoma abadlali ngokuzimisela ,sport,http://www.iol.co.za/isolezwe/utinkler-uncoma-abadlali-ngokuzimisela-2096187
9, i popcru ikhathazekile ngezokuphepha emajele ,"crime, law and justice",http://www.iol.co.za/isolezwe/izindaba/i-popcru-ikhathazekile-ngezokuphepha-emajele-7285814
10, ezokungcebeleka/utrevor noah nengxoxo ekhethekile nobarack obama ,politics,http://www.iol.co.za/isolezwe/ezokungcebeleka/utrevor-noah-nengxoxo-ekhethekile-nobarack-obama-2096189
11, bevile ku  ababhubhe ezingozini ,"disaster, accident and emergency incident",http://www.iol.co.za/isolezwe/izindaba/bevile-ku-800-ababhubhe-ezingozini-7285763
12, sebeshaywe ngesithende abaholi benfp ,politics,http://www.iol.co.za/isolezwe/izindaba/sebeshaywe-ngesithende-abaholi-benfp-7285810
13, ezemidlalo/abamethusi abadlali abaziwayo ,sport,http://www.iol.co.za/isolezwe/ezemidlalo/abamethusi-abadlali-abaziwayo-2096446
14, ushadise amadodakazi kanye kanye ,religion and belief,http://www.iol.co.za/isolezwe/ushadise-amadodakazi-kanye-kanye-2095836
15, kube mnyama kwezimnyama ,sport,http://www.iol.co.za/isolezwe/kube-mnyama-kwezimnyama-2096313
16, kusenele isiboshwa sodumo lokweqa emajele ,"crime, law and justice",http://www.iol.co.za/isolezwe/izindaba/kusenele-isiboshwa-sodumo-lokweqa-emajele-7286153
17, wayengumfundi oqotho unoma ,"arts, culture, entertainment and media",http://www.iol.co.za/isolezwe/wayengumfundi-oqotho-unoma-2095009
18, i anc iphawula ngecala likagordhan ,politics,http://www.iol.co.za/isolezwe/i-anc-iphawula-ngecala-likagordhan-2078975
19, udu boiz uqopha nomrepha wase us ,"arts, culture, entertainment and media",http://www.iol.co.za/isolezwe/udu-boiz-uqopha-nomrepha-wase-us-2078960
20, akukho uzuma angakuxolisela anc ,politics,http://www.iol.co.za/isolezwe/akukho-uzuma-angakuxolisela-anc-2078970
21, udutshulwe esontweni umfundisi ,"crime, law and justice",http://www.iol.co.za/isolezwe/udutshulwe-esontweni-umfundisi-2078968
22, uzuma usola umadonsela ngokuhambisa ngesinxele ,politics,http://www.iol.co.za/isolezwe/uzuma-usola-umadonsela-ngokuhambisa-ngesinxele-2078624
23, sihlaziya umnotho kusazobhimba impela uma kukhulunywa ngezomnotho ,politics,http://www.iol.co.za/isolezwe/izindaba/sihlaziya-umnotho-kusazobhimba-impela-uma-kukhulunywa-ngezomnotho-7377728
24, uphuze owokukhipha idliso washona ,"crime, law and justice",http://www.iol.co.za/isolezwe/izindaba/uphuze-owokukhipha-idliso-washona-7489986
25, umalema ukhwele wadilika kuzuma ,"crime, law and justice",http://www.iol.co.za/isolezwe/izindaba/umalema-ukhwele-wadilika-kuzuma-7356195
26, abatokile bashaye abashushisi ngezihlalo ,"crime, law and justice",http://www.iol.co.za/isolezwe/izindaba/abatokile-bashaye-abashushisi-ngezihlalo-7490702
27, uhleka yedwa unina wesiboshwa esiyisiqengqe ,"crime, law and justice",http://www.iol.co.za/isolezwe/izindaba/uhleka-yedwa-unina-wesiboshwa-esiyisiqengqe-7404427
28, usesitokisini osolwa ngokubulala usana ,"crime, law and justice",http://www.iol.co.za/isolezwe/izindaba/usesitokisini-osolwa-ngokubulala-usana-7355174
29, isixakaxaka ibandla libanga imali kamotsepe ,religion and belief,http://www.iol.co.za/isolezwe/izindaba/isixakaxaka-ibandla-libanga-imali-kamotsepe-7410356
30, umkhize uphika ukuthi ufuna esokuba yiphini likaramaphosa ,politics,http://www.iol.co.za/isolezwe/izindaba/umkhize-uphika-ukuthi-ufuna-esokuba-yiphini-likaramaphosa-7377587
31, ushone ebalisa ulundi ngesithombe sakhe egula ,"arts, culture, entertainment and media",http://www.iol.co.za/isolezwe/izindaba/ushone-ebalisa-ulundi-ngesithombe-sakhe-egula-7542534
32, kugxekwe oshuthe eselibeni likancwane ,society,http://www.iol.co.za/isolezwe/izindaba/kugxekwe-oshuthe-eselibeni-likancwane-7501559
33, wenze ezibukwayo owafeyila   matric ngo  ,society,http://www.iol.co.za/isolezwe/izindaba/wenze-ezibukwayo-owafeyila---matric-ngo-2010-7349814
