id,title,label
0,sibhalele ufake sicelo sakho nge email Ku simelaneddsabc.co.za Kumbe ubhale le lopheka lihlelo Mr Bheki Sehlabela Ku sehlabelawbsabc.coza lokungenani ushiye sicelo sakho emsakatweni Kumbe kuyinye yema container aka SuperB lasedvute nawe,"arts, culture, entertainment and media"
1,Njalo ngemsombuluko sine Covid19 Open line. Sishayela ku 089 110 2500 ukhokhe lekusesifubeni sakho mayelana leligciwane lelihlasele Mhlaba wonke jikelele. Ungaphawulo nala kuFacebook.,society
2,"Ngembi kwekutsi kube neCovid 19, imali lebeyisetjentiswa kungcwaba lilunga lemndeni beyiba iningi. Ngalemigomo lemisha lebikiwe yekungwcaba, ucabanga kwekutsi kuvela kwaleligciwane kusite mindeni leminingi kwekutsi yonge imali nobe kufanele sibuyela kulendlela besingcwaba ngayo kudzala na",society
3,Linyenti lemave libeke umtsetfo wekujezisa bantfu uma bangagcoki sifonyo. Ingingizimu Afrika yona ibeke umtsetfo wekugcoka sifonyo kephela uma usebantfwini noma uya emsebentini. Kungaba njani uma Iningizimu Afrika nayo ingabeka umtsetfo wekuhlala ugcoke sifonyo njalo kwehlisa lizinga lekutselelana ngaleligciwane,"crime, law and justice"
4,"Utiva njani ngekuvulwa kwetindzawo letibalwe nguMengameli kunkhulumo yakhe itolo Silindzele kutsi kuvulwe emaRestuarants, emahotela lavunyelwe kutsi avulwe, maCinema, theatre, maCasino, netindzawo lekudlalwa iCricket, golf ne Tennis pheceleti Noncontact sports.",society
5,Lockdown Day54 Solo tikhuphuke njalo tibalo tebantfu laba banjwa ngunaku kugula kwalo mkhuhlane we CoronaVirus Hlala utsi ne kumsakato Ligwalagwala FM. Tsine sikuletsa bunandzi bodvwa njalo Ngemgcibelo nangeli Sontfo,society
6,"ligwalagwalaFM FAMILY Uma ngabe balaphi bendzabuko bangavela nelikhambi lale nkhotsamave iCovid19 hulumende aliphasise BESE UTSI LITFOLAKALA KUPHELA KUBO THOKOZA etindumbeni ungaya kolitfola kubo na, kungani naba kafishaneLomuhla ku siyobe sicocisana na Phepsile Maseko kulelihledlwana lwetfu Sibuka indlela lesehanjwe balaphi bendzabuko ekulweni nalenkhotsamave ye Covid19 netinkhulumiswano lebanato na Hulumende la Mzansi","arts, culture, entertainment and media"
7,"The Lockdown yente bantfu baba creative ngekunatsa tjwala besintfuUmcombotsi ne Spayoni, babukhulumela kamnandzi, babufake tinongo nawe uve uchabange kutsi uyaluza, kantsi bazama kulwa nanembeza. What are the funny excuses for drinking Spayoni ne mcombotsi you have heard during this Lockdown 07h50, tivele Real Madumane and Ntsimbi Makwakwa kutsi batsini",society
8,"Here is your todays show menu vumani booo Real Madumane, utsi leliphupho lakho lisho kutsi iLockdown iyaphela ekupheleni kwenyanga, ngaloko bantfu batawunatsa badzakwe, kube inkinga eveni. Lalela Real Madumane, acaza liphupho lakho.Ngicabana nebantfwa bami nge Remote yeTV endlini ngenca yekutsi ngifuna kubukela lokunye bonas bafuna kubukela lokunye, uma ngitsi ngiyalala bagijima indlu yonke kuphele butfongo. Ink...",society
9,Ngekubona kwakho ngabe inombolo yemaPhoyisa iyandza ngala uhlala khona naUcabanga kwekutsi sibahlali balana eNingizimu Afrika sidzinga emaphoyisa kutsi asifake endlelni acinisekise kutsi sihlala emakhaya nobe cha asiwadzingi,"crime, law and justice"
